数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,创业板指成分股,中证1000成分股,中证2000成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
bj920002,万达轴承,2026-05-12,94.93,101.98,94.53,95.91,94.93,2030880.0,199230901.91,3055223504.19,4364189660.88,59452835.26,31220716.20000001,743931365.26,808067722.97,64136357.71,15307504.15,,,,,,,,,,,,,,,机械设备,通用设备,金属制品,,,
bj920003,中诚咨询,2026-05-12,31.98,32.68,31.69,32.06,32.05,791851.0,25479498.1,426865627.16,2074740009.16,,,654876831.74,869469534.11,214592702.37,42011322.96,,,,,,,,,,,,,,,建筑装饰,工程咨询服务Ⅱ,工程咨询服务Ⅲ,,,
bj920006,晟楠科技,2026-05-12,20.59,21.99,20.3,21.27,20.59,2686520.0,57032199.86,1016644572.24,1920408744.0,2377070.33,35104173.1,314270744.94,502018259.93,187747514.99,-4956983.08,,,,,,,,,,,,,,,国防军工,航空装备Ⅱ,航空装备Ⅲ,,,
bj920007,酉立智能,2026-05-12,53.66,56.99,53.65,56.99,53.66,766743.0,42311502.71,606536021.5,2532205325.5,73327768.32,168671705.82,650181192.04,1101074162.49,450892970.45,14436892.51,,,,,,,,,,,,,,,电力设备,光伏设备,光伏辅材,,,
bj920000,安徽凤凰,2026-05-12,16.44,16.72,16.3,16.38,16.24,999255.0,16502333.2,943388491.5,1501718400.0,67521872.31,87475483.18,676739543.4100001,816615351.85,139875808.44,13162057.79,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920001,纬达光电,2026-05-12,15.27,15.8,15.2,15.48,15.2,2283966.0,35235846.28,1372936989.6,2378598037.92,-31229661.14,-2898199.5999999987,709099369.97,793847309.2,84747939.23,-5522986.83,,,,,,,,,,,,,,Y,电子,光学光电子,面板,,,
bj920005,鼎佳精密,2026-05-12,35.8,36.38,35.44,35.65,35.66,359385.0,12889654.3,766475000.0,2958950000.0,52600082.5,60096896.25,655526811.6200001,841992440.32,186465628.7,13043925.69,,,,,,,,,,,,,,,电子,消费电子,消费电子零部件及组装,,,
bj920011,晨光电机,2026-05-12,27.59,29.85,27.16,27.6,27.8,5367175.0,152170796.57,513360027.6,2281600009.2,90439765.66999999,116463898.36,849024625.8199999,1279187252.24,430162626.42,15890732.17,,,,,,,,,,,,,,,电力设备,电机Ⅱ,电机Ⅲ,,,
bj920008,成电光信,2026-05-12,26.9,27.32,26.6,27.04,26.74,1604751.0,43446358.35,919920295.84,1723800000.0,20030567.43,14097707.459999993,325593507.22,465477601.97,139884094.75,-41376.14,,,,,,,,,,,,,,,国防军工,军工电子Ⅱ,军工电子Ⅲ,,,
bj920009,丹娜生物,2026-05-12,70.0,71.38,68.68,68.87,71.39,550793.0,38306404.75,495864000.0,3814709300.0,89409640.74,82496850.3,696150991.63,747554811.06,51403819.43,18321517.76,,,,,,,,,,,,,,,医药生物,医疗器械,体外诊断,,,
bj920012,创达新材,2026-05-12,70.02,79.55,68.52,71.38,70.02,5771569.0,425290355.53,947117450.46,3520274584.4,66292972.44,16700688.21,613291432.97,726950374.62,113658941.65,16128247.47,,,,,,,,,,,,,,,电子,半导体,半导体材料,,,
bj920010,凯添燃气,2026-05-12,13.42,13.85,12.9,12.97,13.55,13701711.0,183168396.45,2250267153.41,3041465000.0,27569364.03,16333911.469999995,705888351.27,1084150267.33,378261916.06,9360266.24,,,,,,,,,,,,,,,公用事业,燃气Ⅱ,燃气Ⅲ,,,
bj920014,特瑞斯,2026-05-12,12.25,12.46,12.14,12.25,12.22,2012604.0,24811096.64,821329400.5,1492745101.75,9384657.610000001,81596635.72,786532122.9000001,1114098471.48,327566348.58,3904081.06,,,,,,,,,,,,,,,公用事业,燃气Ⅱ,燃气Ⅲ,,,
bj920015,锦华新材,2026-05-12,42.42,43.84,41.5,42.25,42.39,2019811.0,86189066.98,1690525590.0,5727691680.75,173438146.61,250741069.20000002,1706838183.3799999,2168462965.33,461624781.95,29127331.54,,,,,,,,,,,,,,,基础化工,化学制品,有机硅,,,
bj920016,中草香料,2026-05-12,17.08,17.22,16.9,16.9,17.08,474491.0,8076545.93,578608984.2,1300994600.1,21608014.189999998,20489441.630000003,390327678.09000003,645420812.44,255093134.35,6286414.59,,,,,,,,,,,,,,,基础化工,化学制品,食品及饲料添加剂,,,
bj920020,泰凯英,2026-05-12,16.48,16.54,16.14,16.21,16.38,1108960.0,18144931.53,893185605.21,3646358450.0,181402446.92000002,103417369.11000001,1195705227.61,2280263492.72,1084558265.11,40977776.15,,,,,,,,,,,,,,,汽车,汽车零部件,轮胎轮毂,,,
bj920022,世昌股份,2026-05-12,26.99,27.7,26.99,27.58,26.93,889100.0,24361547.45,458241700.0,1663653180.0,67177266.25999999,11734960.170000006,447640256.99,687753049.72,240112792.73,16489730.0,,,,,,,,,,,,,,,汽车,汽车零部件,底盘与发动机系统,,,
bj920019,铜冠矿建,2026-05-12,18.93,18.95,18.21,18.41,18.64,2149479.0,39873606.47,3084331611.06,3871009947.0,35919658.36,-14286120.590000004,935142627.21,2010440990.55,1075298363.34,16708452.01,,,,,,,,,,,,,,,建筑装饰,专业工程,其他专业工程,,,
bj920017,星昊医药,2026-05-12,18.34,18.54,18.1,18.18,18.37,1780485.0,32648000.06,2245405982.4,2269450850.4,109802644.27000001,220329785.26999998,1685299665.9299998,2031173993.8,345874327.87,31788942.07,,,,,,,,,,,,,,,医药生物,化学制药,化学制剂,,,
bj920023,*ST田野,2026-05-12,2.34,2.38,2.32,2.33,2.33,9910446.0,23270755.03,626323874.9,762618320.0,8544001.41,77227650.84000002,1206408011.53,1679065374.59,472657363.06,654063.43,,,,,,,,,,,,,,,农林牧渔,农产品加工,果蔬加工,,,
bj920018,宏远股份,2026-05-12,29.31,30.58,29.13,30.24,29.32,3168530.0,95095635.54,1337327712.0,3850446015.36,,,938817939.7300003,2312580996.28,1373763056.55,28451701.04,,,,,,,,,,,,,,,电力设备,电网设备,线缆部件及其他,,,
bj920021,流金科技,2026-05-12,10.51,10.91,10.43,10.63,10.56,20412660.0,217776292.69,2631506173.99,3284669819.29,10896649.699999997,60269279.519999996,641469682.1,951890268.62,310420586.52,5298406.49,,,,,,,,,,,,,,,传媒,电视广播Ⅱ,电视广播Ⅲ,,,
bj920028,新恒泰,2026-05-12,20.66,25.33,20.42,23.31,21.18,19993977.0,456296447.1,1514208276.0,3831231600.0,112865162.57999998,75988126.38,1133559886.79,1528439078.04,394879191.25,22089547.1,,,,,,,,,,,,,,,基础化工,塑料,其他塑料制品,,,
bj920027,交大铁发,2026-05-12,18.92,19.1,18.52,18.73,18.85,1584078.0,29755054.13,790471555.0,1483481555.0,51335766.28,74977891.94000001,473588072.12,901039742.48,427451670.36,6094361.35,,,,,,,,,,,,,,,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,,,
bj920029,开发科技,2026-05-12,69.81,70.39,69.22,69.28,69.46,648566.0,45181004.32,9362787889.76,9622068289.76,557185114.84,603835883.47,3783095427.3500004,5058875785.26,1275780357.91,53436495.12,,,,,,,,,,,,,,,电力设备,电网设备,电工仪器仪表,,,
bj920026,卓兆点胶,2026-05-12,36.43,36.74,35.48,35.7,36.05,868097.0,31252628.99,2208864493.5,2930157682.2,64120817.85999999,67075986.05999998,692381521.78,859681995.6,167300473.82,6715074.84,,,,,,,,,,,,,,,机械设备,专用设备,其他专用设备,,,
bj920035,精创电气,2026-05-12,33.01,34.13,31.53,31.83,32.81,2192111.0,72262020.73,497082744.0,2209638600.0,61658760.05,53198435.50000001,592927033.1800001,781302840.22,188375807.04,11160247.28,,,,,,,,,,,,,,,机械设备,通用设备,仪器仪表,,,
bj920033,康普化学,2026-05-12,17.56,17.99,17.16,17.25,17.61,1340425.0,23448579.66,1427626525.5,2055083062.5,37857521.5,206650292.32,775814509.88,894162423.87,118347913.99,25988919.27,,,,,,,,,,,,,,,基础化工,化学制品,其他化学制品,,,
bj920036,觅睿科技,2026-05-12,51.83,56.05,50.2,51.4,52.03,4490262.0,239682051.8,671349637.8,2797281907.8,,,593361548.49,752250486.36,158888937.87,3744543.47,,,,,,,,,,,,,,,计算机,计算机设备,安防设备,,,
bj920037,广信科技,2026-05-12,55.11,56.75,54.84,55.16,54.97,2564597.0,142968099.19,2283074109.96,7063131596.36,210211248.63000003,172760319.38,914234118.68,1119205482.77,204971364.09,56534713.52,,,,,,,,,,,,,,,电力设备,电网设备,线缆部件及其他,,,
bj920030,德众汽车,2026-05-12,5.83,5.88,5.72,5.74,5.8,1204524.0,6971205.2,645600995.34,1026539768.94,-33126596.599999994,108720159.38,435960484.17999995,1298323710.53,862363226.35,1783901.82,,,,,,,,,,,,,,,汽车,汽车服务,汽车经销商,,,
